index,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
54222,10,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
30074,6,3) $200 - $350,292.39,0,1,Rural,0,Phone,Womens E-Mail,0,0,0.0
2725,8,1) $0 - $100,35.57,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
52884,1,1) $0 - $100,75.64,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
42004,4,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
24975,12,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
53600,2,"6) $750 - $1,000",846.18,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
57102,10,2) $100 - $200,150.84,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
18264,11,1) $0 - $100,35.96,0,1,Urban,1,Web,No E-Mail,0,0,0.0
50189,4,5) $500 - $750,514.3,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
51981,6,5) $500 - $750,540.41,1,1,Rural,1,Phone,No E-Mail,0,0,0.0
35759,9,1) $0 - $100,63.85,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
24107,10,4) $350 - $500,443.01,1,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
54965,4,2) $100 - $200,123.42,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
63672,2,5) $500 - $750,606.45,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
41405,10,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
43806,2,"7) $1,000 +",1093.78,1,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
50302,9,3) $200 - $350,269.81,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
59833,10,1) $0 - $100,98.91,0,1,Rural,1,Web,No E-Mail,0,0,0.0
20502,7,1) $0 - $100,90.82,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
27130,4,1) $0 - $100,29.99,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0
10799,5,2) $100 - $200,198.88,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
54424,1,2) $100 - $200,110.07,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
20687,6,1) $0 - $100,54.57,0,1,Rural,1,Phone,No E-Mail,1,0,0.0
995,1,1) $0 - $100,56.65,0,1,Urban,1,Web,No E-Mail,0,0,0.0
24157,9,3) $200 - $350,251.65,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
48846,5,1) $0 - $100,35.14,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
25247,10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
28398,9,1) $0 - $100,88.34,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
12255,9,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
36506,2,"7) $1,000 +",1094.7,1,1,Urban,1,Web,No E-Mail,1,0,0.0
30436,1,3) $200 - $350,231.56,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
16745,1,4) $350 - $500,391.85,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0
59948,9,3) $200 - $350,288.02,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
32688,3,1) $0 - $100,64.31,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
13135,1,5) $500 - $750,542.55,0,1,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
11690,3,5) $500 - $750,542.97,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
43748,10,5) $500 - $750,503.34,1,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
48272,4,2) $100 - $200,163.81,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
37220,1,2) $100 - $200,102.29,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
22648,4,1) $0 - $100,80.88,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
23454,2,2) $100 - $200,114.62,0,1,Urban,1,Web,No E-Mail,0,0,0.0
35297,4,4) $350 - $500,360.23,1,1,Surburban,0,Web,No E-Mail,0,0,0.0
58329,5,4) $350 - $500,417.33,1,1,Urban,0,Multichannel,Womens E-Mail,1,0,0.0
55864,4,2) $100 - $200,145.89,1,0,Rural,0,Phone,No E-Mail,0,0,0.0
1936,5,1) $0 - $100,75.36,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
20961,5,2) $100 - $200,121.46,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
215,1,3) $200 - $350,209.98,1,0,Surburban,0,Web,No E-Mail,1,0,0.0
4752,1,4) $350 - $500,480.84,0,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0
15605,8,4) $350 - $500,413.69,1,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0
10294,6,1) $0 - $100,35.69,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
44107,10,2) $100 - $200,165.78,0,1,Rural,0,Phone,No E-Mail,0,0,0.0
8760,11,1) $0 - $100,58.32,0,1,Rural,0,Phone,Womens E-Mail,0,0,0.0
9452,2,"6) $750 - $1,000",891.11,0,1,Urban,1,Web,No E-Mail,0,0,0.0
56047,4,4) $350 - $500,456.61,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
2866,3,1) $0 - $100,48.8,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
7386,3,5) $500 - $750,605.37,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
24624,2,5) $500 - $750,723.99,1,0,Rural,1,Web,Womens E-Mail,0,0,0.0
9532,12,2) $100 - $200,165.33,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
5948,9,3) $200 - $350,330.83,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
6486,1,4) $350 - $500,493.48,0,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
9575,5,5) $500 - $750,700.68,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0
30994,3,"6) $750 - $1,000",979.97,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
46339,4,1) $0 - $100,29.99,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
47544,7,2) $100 - $200,108.07,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
52563,4,1) $0 - $100,97.84,0,1,Urban,1,Web,No E-Mail,0,0,0.0
61291,6,3) $200 - $350,267.1,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
50192,12,5) $500 - $750,541.39,1,0,Rural,1,Web,Womens E-Mail,1,0,0.0
28623,7,3) $200 - $350,214.81,0,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
44490,8,1) $0 - $100,38.17,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
53889,3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
16226,12,3) $200 - $350,278.78,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0
56415,3,4) $350 - $500,440.8,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
18872,2,2) $100 - $200,167.08,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
